stop_lat,stop_id,stop_name,stop_lon
55.802912,36206,Жилой массив Новое Аракчино,48.948977
55.803715,36207,Затон,48.94256
55.806046,36208,Гипсовый завод,48.936286
55.773981,36193,Речной порт,49.093282
55.773177,36194,Автовокзал,49.101056
55.776136,35837,Тинчурина,49.107189
55.779486,35838,Татарстан,49.111909
55.781639,35893,Каюма Насыри,49.114848
55.786781,35894,Колхозный рынок (ул. Московская),49.1105
55.789176,35895,Чернышевского (ул. Московская),49.107622
55.793127,35982,ЦУМ,49.102876
55.794709,35983,Дворец спорта,49.100976
55.796769,35717,Центральный стадион,49.103235
55.815066,35718,Энергетический университет,49.100372
55.820422,35719,ТРК Тандем (Декабристов),49.090416
55.826606,35915,ДК Химиков,49.084317
55.829871,35700,Метро Яшьлек,49.081298
55.834012,35701,пл. Восстания,49.080614
55.837615,35702,Гагарина (ул. Декабристов),49.081029
55.841424,35703,Метро Северный вокзал,49.082661
55.84913,35704,Дементьева,49.084498
55.856119,35706,КМПО,49.100357
55.857715,35707,Караваево-2,49.105586
55.862993,36573,Караваево,49.106859
55.86599,36574,Академика Павлова,49.097453
55.867342,36575,Годовикова,49.092898
55.86721,36001,Айдарова (ул. Ленинградская),49.087787
55.865338,35807,Молодёжная,49.078079
55.865682,35808,Центрально-Мариупольская (автобус),49.068717
55.869105,36576,Баня №9,49.068701
55.871722,36577,Мусы Бигиева,49.068987
55.875211,36578,Школа №105,49.069377
55.8777,36579,Магазин №1,49.069203
55.877876,36580,Литвинова,49.063174
55.878919,36581,Магазин №2,49.054549
55.879127,36582,Давыдова (ул. Литвинова),49.046947
55.879399,36583,ж/м Северный,49.041221
55.879079,36584,Давыдова (ул. Литвинова),49.04743
55.87888,36585,Магазин №2,49.054698
55.877878,36586,Литвинова,49.061769
55.877677,36587,Магазин №1,49.068924
55.875183,36588,Школа №105,49.069309
55.87147,36589,Мусы Бигиева,49.068895
55.869459,36590,Баня №9,49.068676
55.865973,36591,Центрально-Мариупольская (автобус),49.068356
55.865151,35757,Молодёжная,49.077788
55.86329,35623,Баня №14,49.078376
55.862737,35710,Ленинградская,49.085775
55.866446,36007,Айдарова (ул. Ленинградская),49.087677
55.867178,36592,Годовикова,49.092928
55.865732,36593,Академика Павлова,49.097568
55.862923,36594,Караваево,49.106518
55.858831,36595,Максимова,49.102329
55.855595,35627,Кошевого,49.098533
