stop_lat,stop_id,stop_lon,stop_name
55.005408,28439,73.404854,6-я Восточная
55.005491,29514,73.395611,11-я Ремесленная
55.004742,29515,73.390249,Арктическая
55.00244,29516,73.387432,3-я Ремесленная (ул. Арктическая)
55.000131,29517,73.380294,Бутырский базар
54.996568,29518,73.379428,Центральный рынок
54.99486,29519,73.375199,Булатова
54.993935,28692,73.372256,Фрунзе
54.98939,28639,73.37445,Госпиталь
54.986109,28640,73.377086,Дом Туриста
54.98132,28693,73.380265,пл. Ленина
54.972865,28703,73.381319,Магазин Жемчужина
54.969328,28704,73.360774,ДОСААФ (ул. 3-я Островская)
54.967699,28705,73.352399,Парк Победы
54.957706,29406,73.349921,По требованию (ул. Суворова)
54.954437,29407,73.349876,Больница (ул. Суворова)
54.949426,29408,73.349971,Завод гражданской авиации
54.945667,29409,73.347515,Суворова
54.940632,29275,73.339342,Володарского
54.933529,29276,73.329107,АО Сибирский хлеб
54.933771,29277,73.325468,Школа №55
54.928748,29520,73.321598,Школа №53
54.925081,29521,73.319762,Сады Яблонька
54.920787,29522,73.318481,Нефтебаза (ул. Мельничная)
54.913883,29523,73.314282,Самарка
54.908502,29524,73.311339,Магазин (ул. Мельничная)
54.906257,29525,73.310111,Межрайбаза (ул. Мельничная)
54.907465,29526,73.3024,База хозтоваров
54.910732,29527,73.296887,База №10
54.915849,29528,73.289771,УПТК
54.915215,29529,73.283612,Стройплощадка 111
54.914988,29530,73.283321,Стройплощадка 111
54.915738,29531,73.289052,УПТК
54.910937,29532,73.296454,База №10
54.907717,29533,73.301884,База хозтоваров
54.901337,29534,73.307344,База ОПС
54.896952,29535,73.306271,Механический завод
54.917388,29600,73.436376,Строительный рынок Южный
54.915568,29601,73.43656,ПАТП-4
54.914153,28752,73.443317,Фрезерная
54.911375,28753,73.443032,Моторная
54.908445,28754,73.445296,Гашека
54.908488,28755,73.452164,Универсам (ул. Гашека)
54.908511,28756,73.455759,Поворотная (ул. Гашека)
54.910876,28757,73.457054,Сибирский проспект
54.914956,28758,73.457013,Школа №107
54.918006,29397,73.455594,Мини-рынок (проспект Сибирский)
54.922443,28382,73.449837,пос. Южный
54.933402,28383,73.435487,28-я Рабочая
54.935772,28384,73.432477,23-я Рабочая
54.938437,28385,73.429424,19-я Рабочая
54.943266,28386,73.424129,11-я Рабочая
54.947746,28387,73.419132,Омский Дом Дружбы
54.951292,28388,73.416009,ДК Рубин
54.955764,28389,73.415217,ПО Полёт
54.960692,28390,73.414636,ПО им. Баранова
54.967147,28391,73.413828,Лизы Чайкиной
54.972754,28392,73.412822,ПКиО им. 30 лет ВЛКСМ
54.972303,28519,73.41138,ПКиО им. 30 лет ВЛКСМ
54.971984,28520,73.405724,ПО Большевичка
54.971288,28521,73.39435,Степная
54.970807,28522,73.386474,Академия транспорта
54.991127,28527,73.371336,Главпочтамт
54.991797,28528,73.362903,КДЦ Маяковский
54.993623,28933,73.357909,По требованию (ул. Фрунзе)
54.985627,28934,73.338689,3-я Енисейская
54.983369,29236,73.331569,Строймаркет Новосёл
54.980222,29567,73.322658,11-й микрорайон
54.978522,29568,73.317765,Социальный рынок
54.976471,29569,73.311868,Конева
54.975546,29570,73.301909,Школа
54.978764,28799,73.295469,Берёзовая Роща
54.979694,28937,73.291566,Новая
54.971243,29146,73.281268,Мега
54.973114,29602,73.284058,Икеа
54.978426,28787,73.296056,Берёзовая Роща
54.978493,28788,73.302418,1-я Садовая
54.980999,28789,73.30612,12-й микрорайон
54.982807,28790,73.310144,проспект Комарова (ул. Дмитриева)
54.98479,28738,73.313985,Дмитриева
54.980821,28739,73.323254,11-й микрорайон
54.979312,28740,73.326709,ТЦ Континент
54.978119,28741,73.335036,Торговый город
54.97917,28942,73.338738,Торговый город
54.982543,28943,73.336568,Амбулатория
54.98432,29265,73.335725,Микрорайон Аванград
54.985501,28944,73.339198,3-я Енисейская
54.99304,28566,73.361106,Библиотека им. Пушкина
54.991148,28637,73.365774,КДЦ Маяковский
54.991003,28638,73.370941,Главпочтамт
54.974583,28694,73.381735,Магазин Голубой огонек
54.970642,28573,73.385049,Академия транспорта
54.971427,28574,73.397663,Степная
54.971892,28575,73.405258,ПО Большевичка
54.972181,28576,73.410214,ПКиО им. 30 лет ВЛКСМ
54.965909,28447,73.41296,Лизы Чайкиной
54.960387,28448,73.413622,ПО им. Баранова
54.955162,28449,73.414226,ПО Полёт
54.950254,28450,73.41614,ДК Рубин
54.94709,28451,73.41955,Омский Дом Дружбы
54.942701,28452,73.424384,11-я Рабочая
54.937853,28453,73.42991,19-я Рабочая
54.935576,28454,73.432513,23-я Рабочая
54.932625,28455,73.436254,28-я Рабочая
54.921301,28766,73.451047,пос. Южный
54.917589,28767,73.455929,Мини-рынок (проспект Сибирский)
54.913642,28768,73.456902,Школа №107
54.910471,28769,73.456964,Сибирский проспект
54.90857,28770,73.455173,Поворотная (ул. Гашека)
54.908535,28771,73.449575,Универсам (ул. Гашека)
54.908506,28772,73.44496,Гашека
54.911995,28773,73.443369,Моторная
54.914957,28774,73.441574,Фрезерная
54.9157,29603,73.436502,ПАТП-4
54.917391,29604,73.436704,Строительный рынок Южный
55.060642,28628,73.250511,Омский нефтеперерабатывающий завод
55.057085,28629,73.253284,ПО Нефтехимавтоматика
55.053661,28630,73.255952,Спецавтоматика
55.048775,28631,73.25841,ПАТП-7
55.041518,28632,73.26171,пос. Ермак
55.037416,28853,73.264975,пл. Лицкевича
55.033222,28854,73.268312,Магистральная
55.029463,28855,73.271113,Малунцева
55.028964,28856,73.278336,ДК им. Малунцева
55.028732,28555,73.285789,КДЦ Кристалл
55.026671,28556,73.291422,Технический университет
55.024703,28557,73.296804,Медицинская академия
55.022892,28558,73.301758,СибАДИ
55.023586,28537,73.300326,СибАДИ
55.025207,28538,73.295888,Медицинская академия
55.02693,28539,73.291169,Технический университет
55.028702,28972,73.28632,КДЦ Кристалл
55.02922,28870,73.277584,ДК им. Малунцева
55.029903,28871,73.271125,Малунцева
55.033611,28872,73.268175,Магистральная
55.037188,28873,73.265329,пл. Лицкевича
55.042063,28622,73.261449,пос. Ермак
55.043196,29225,73.260778,пос. Ермак
55.04851,28623,73.258979,ПАТП-7
55.053159,28624,73.256862,Спецавтоматика
55.057395,28625,73.253561,ПО Нефтехимавтоматика
55.061255,28626,73.254918,Поликлиника (проспект Губкина)
55.061107,28627,73.251652,Омский нефтеперерабатывающий завод
54.919748,28477,73.408541,ПО Иртыш
54.921312,28478,73.41627,ТПК (ул. Демьяна Бедного)
54.925465,28479,73.416285,Полторацкого
54.929074,28480,73.416374,6-я Чередовая
54.93187,28481,73.416461,3-я Чередовая
54.937044,28482,73.415069,Школьная
54.942689,28483,73.410819,Озеро Хасан
54.9429,28484,73.398551,Сибирский профессионально-педагогический колледж
54.947139,29252,73.387495,пл. Серова
54.941811,28745,73.383755,Рождественского
54.938353,28506,73.383007,Лобкова
54.938334,28467,73.383391,Лобкова
54.942207,28702,73.384182,Рождественского
54.94711,29253,73.387295,пл. Серова
54.944599,29254,73.395447,Артёма Избышева
54.942875,28489,73.397769,Сибирский профессионально-педагогический колледж
54.942709,28490,73.40974,Озеро Хасан
54.93744,28491,73.415017,Школьная
54.932725,28492,73.416422,3-я Чередовая
54.928576,28493,73.416299,6-я Чередовая
54.92475,28494,73.416226,Полторацкого
54.920606,28495,73.416228,ТПК (ул. Демьяна Бедного)
54.91977,28496,73.407537,ПО Иртыш
55.048301,28419,73.33072,ТК Лента (Красноярский тракт)
55.048766,28420,73.326636,Имени В. Бархатовой
55.04422,28421,73.324614,Имени О. Охрименко
55.044271,28678,73.318636,проспект Менделеева
55.04593,28908,73.311641,Кинотеатр Первомайский
55.046817,28909,73.305947,Белозёрова
55.047403,29043,73.292186,Поликлиника (ул. Энтузиастов)
55.047265,29044,73.283408,Школа №7
55.046187,29045,73.27503,Ромашка
